locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Warszawa Białołęka,ul. Wiśniowy Sad,2pok.,51m²,724 000,14 196,owner,wczoraj,15,https://adresowo.pl/o/mieszkanie-warszawa-bialoleka-ul-wisniowy-sad-2-pokojowe-c3k1k2,https://s2.adresowa.pl/oi/71/58/3a7ace_f964_cover-2-pokojowe-mieszkanie-warszawa-bialoleka-ul-wisniowy-sad.jpg
Warszawa Śródmieście,ul. Dzika,3pok.,73m²,1 670 000,23 003,owner,wczoraj,14,https://adresowo.pl/o/mieszkanie-warszawa-srodmiescie-ul-dzika-3-pokojowe-c6u2c3,https://s2.adresowa.pl/oi/6e/7c/3a7ac2_7a7f_cover-3-pokojowe-mieszkanie-warszawa-srodmiescie-ul-dzika.jpg
,,,,,,unknown,,,https://adresowo.pl/mieszkania/warszawa/bemowo-g/,
Warszawa Bemowo,ul. Kopalniana,2pok.,38m²,zapytajocenę,,owner,,4,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-kopalniana-2-pokojowe-z6p5q1,https://s2.adresowa.pl/development/671976/nowe-mieszkania-m-bemowo-9308_cover.jpg
,,,,,,unknown,,,,
,,,,,,unknown,,,,
Warszawa Bielany,ul. Klaudyny,3pok.,58m²,663 550,11 500,owner,2 dni temu,6,https://adresowo.pl/o/mieszkanie-warszawa-bielany-ul-klaudyny-3-pokojowe-y4r7j9,https://s2.adresowa.pl/oi/25/17/3a79fa_5ac2_cover-3-pokojowe-mieszkanie-warszawa-bielany-ul-klaudyny.jpg
Warszawa Wola,ul. Ignacego Prądzyńskiego,2pok.,44m²,991 500,22 376,owner,2 dni temu,7,https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-ignacego-pradzynskiego-2-pokojowe-e0o8a7,https://s2.adresowa.pl/oi/1a/41/3a78f0_c7cb_cover-2-pokojowe-mieszkanie-warszawa-wola-ul-ignacego-pradzynskiego.jpg
Warszawa Grochów,ul. Łukowska,2pok.,52m²,710 000,13 602,owner,2 dni temu,10,https://adresowo.pl/o/mieszkanie-warszawa-grochow-ul-lukowska-2-pokojowe-r2n6l0,https://s2.adresowa.pl/oi/6a/1a/3a7a88_31af_cover-2-pokojowe-mieszkanie-warszawa-grochow-ul-lukowska.jpg
Warszawa Mokotów,ul. Blacharska,3pok.,53m²,770 000,14 528,owner,2 dni temu,10,https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-blacharska-3-pokojowe-c4m5n2,https://s2.adresowa.pl/oi/16/5e/3a7a76_bb29_cover-3-pokojowe-mieszkanie-warszawa-mokotow-ul-blacharska.jpg
,,,,,,unknown,,,,
,,,,,,unknown,,,,
Warszawa Chrzanów,ul. Szeligowska,2pok.,46m²,zapytajocenę,,owner,,7,https://adresowo.pl/o/mieszkanie-warszawa-chrzanow-ul-szeligowska-2-pokojowe-m4t7s2,https://s2.adresowa.pl/development/671218/nowe-mieszkania-bemosphere-9d94_cover.jpg
Warszawa Wola,ul. Sokołowska,3pok.,63m²,1 200 000,19 048,owner,2 dni temu,1,https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-sokolowska-3-pokojowe-n5k4t9,https://s2.adresowa.pl/oi/61/45/3a78f2_5c07_cover-3-pokojowe-mieszkanie-warszawa-wola-ul-sokolowska.jpg
Warszawa Wola,ul. Ignacego Prądzyńskiego,2pok.,38m²,654 000,17 067,owner,2 dni temu,7,https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-ignacego-pradzynskiego-2-pokojowe-o1f3v1,https://s2.adresowa.pl/oi/32/16/3a78ee_cc94_cover-2-pokojowe-mieszkanie-warszawa-wola-ul-ignacego-pradzynskiego.jpg
Warszawa Bemowo,ul. Szeligowska,2pok.,45m²,1 200 000,26 966,owner,2 dni temu,10,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-szeligowska-2-pokojowe-x2a9n6,https://s2.adresowa.pl/oi/74/10/3a79cc_e781_cover-2-pokojowe-mieszkanie-warszawa-bemowo-ul-szeligowska.jpg
,,,,,,unknown,,,,
,,,,,,unknown,,,,
Warszawa Włochy,ul. Aleje Jerozolimskie,2pok.,37m²,779 000,20 992,owner,2 dni temu,11,https://adresowo.pl/o/mieszkanie-warszawa-wlochy-ul-aleje-jerozolimskie-2-pokojowe-f0a8p7,https://s2.adresowa.pl/oi/52/4c/3a79c2_3b23_cover-2-pokojowe-mieszkanie-warszawa-wlochy-ul-aleje-jerozolimskie.jpg
Warszawa Praga-Południe,ul. Drwęcka,2pok.,48m²,zapytajocenę,,owner,,4,https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-ul-drwecka-2-pokojowe-b1h1j1,https://s2.adresowa.pl/development/671982/nowe-mieszkania-neo-praga-1e00_cover.jpg
Warszawa Wola,ul. gen. Józefa Bema,1pok.,27m²,599 500,22 065,owner,2 dni temu,19,https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-gen-jozefa-bema-1-pokoj-u7l4e2,https://s2.adresowa.pl/oi/69/64/3a78d6_ed46_cover-1-pokojowe-mieszkanie-warszawa-wola-ul-gen-jozefa-bema.jpg
Warszawa Śródmieście,ul. Polna,5pok.,131m²,3 150 000,24 046,owner,2 dni temu,1,https://adresowo.pl/o/mieszkanie-warszawa-srodmiescie-ul-polna-5-pokojowe-l7h9l7,https://s2.adresowa.pl/oi/1c/23/3a776a_c78e_cover-5-pokojowe-mieszkanie-warszawa-srodmiescie-ul-polna.jpg
Warszawa Włochy,al. Krakowska,3pok.,54m²,890 000,16 481,owner,2 dni temu,9,https://adresowo.pl/o/mieszkanie-warszawa-wlochy-al-krakowska-3-pokojowe-e6x1u8,https://s2.adresowa.pl/oi/4d/42/3a7980_ea13_cover-3-pokojowe-mieszkanie-warszawa-wlochy-al-krakowska.jpg
,,,,,,unknown,,,,
,,,,,,unknown,,,,
Warszawa Rembertów,ul. Admiralska,1pok.,58m²,650 000,11 285,owner,2 dni temu,9,https://adresowo.pl/o/mieszkanie-warszawa-rembertow-ul-admiralska-1-pokoj-l2i3p0,https://s2.adresowa.pl/oi/30/73/3a755c_2e9f_cover-1-pokojowe-mieszkanie-warszawa-rembertow-ul-admiralska.jpg
Warszawa Włochy,ul. Trzcinowa,3pok.,55m²,zapytajocenę,,owner,,7,https://adresowo.pl/o/mieszkanie-warszawa-wlochy-ul-trzcinowa-3-pokojowe-l2o0n8,https://s2.adresowa.pl/development/671574/nowe-mieszkania-trzcinowa-vita-1475_cover.jpg
Warszawa Praga-Południe,ul. Józefa Chłopickiego,2pok.,39m²,642 447,16 575,owner,2 dni temu,3,https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-ul-jozefa-chlopickiego-2-pokojowe-m4z1v1,https://s2.adresowa.pl/oi/6f/3d/3a75d0_e327_cover-2-pokojowe-mieszkanie-warszawa-praga-poludnie-ul-jozefa-chlopickiego.jpg
Warszawa Praga-Północ,ul. Kawęczyńska,1pok.,34m²,620 000,18 235,owner,2 dni temu,12,https://adresowo.pl/o/mieszkanie-warszawa-praga-polnoc-ul-kaweczynska-1-pokoj-d4p5d6,https://s2.adresowa.pl/oi/21/68/3a75ca_2dc6_cover-1-pokojowe-mieszkanie-warszawa-praga-polnoc-ul-kaweczynska.jpg
Warszawa Ursynów,ul. Hilarego Koprowskiego,2pok.,38m²,660 000,17 400,owner,3 dni temu,5,https://adresowo.pl/o/mieszkanie-warszawa-ursynow-ul-hilarego-koprowskiego-2-pokojowe-g9v1t2,https://s2.adresowa.pl/oi/2b/60/3a75a0_a879_cover-2-pokojowe-mieszkanie-warszawa-ursynow-ul-hilarego-koprowskiego.jpg
,,,,,,unknown,,,,
,,,,,,unknown,,,,
Warszawa Ursynów,ul. Kłobucka,2pok.,31m²,694 999,22 106,owner,3 dni temu,13,https://adresowo.pl/o/mieszkanie-warszawa-ursynow-ul-klobucka-2-pokojowe-n7g2t9,https://s2.adresowa.pl/oi/23/52/3a7596_ee99_cover-2-pokojowe-mieszkanie-warszawa-ursynow-ul-klobucka.jpg
Warszawa Bemowo,ul. Kopalniana,3pok.,55m²,zapytajocenę,,owner,,4,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-kopalniana-3-pokojowe-t2f0c8,https://s2.adresowa.pl/development/671976/nowe-mieszkania-m-bemowo-9308_cover.jpg
Warszawa Białołęka,ul. Milenijna,2pok.,50m²,680 000,13 600,owner,3 dni temu,3,https://adresowo.pl/o/mieszkanie-warszawa-bialoleka-ul-milenijna-2-pokojowe-u8l0j7,https://s2.adresowa.pl/oi/1b/7b/3a75b2_2c10_cover-2-pokojowe-mieszkanie-warszawa-bialoleka-ul-milenijna.jpg
Warszawa Bemowo,ul. gen. Sylwestra Kaliskiego,3pok.,72m²,949 000,13 144,owner,3 dni temu,12,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-gen-sylwestra-kaliskiego-3-pokojowe-u8n8j3,https://s2.adresowa.pl/oi/4a/71/3a7374_d574_cover-3-pokojowe-mieszkanie-warszawa-bemowo-ul-gen-sylwestra-kaliskiego.jpg
Warszawa Wola,ul. Leszno,2pok.,46m²,750 000,16 234,owner,3 dni temu,13,https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-leszno-2-pokojowe-e1i1i8,https://s2.adresowa.pl/oi/1c/1f/3a7576_b1ef_cover-2-pokojowe-mieszkanie-warszawa-wola-ul-leszno.jpg
Warszawa Ursus,,3pok.,48m²,620 000,12 863,owner,3 dni temu,14,https://adresowo.pl/o/mieszkanie-warszawa-ursus-3-pokojowe-48-m2-s7c3s1,https://s2.adresowa.pl/oi/29/1e/3a756e_dd94_cover-3-pokojowe-mieszkanie-warszawa-ursus.jpg
,,,,,,unknown,,,,
,,,,,,unknown,,,,
Warszawa Targówek,ul. Oliwska,3pok.,53m²,zapytajocenę,,owner,,16,https://adresowo.pl/o/mieszkanie-warszawa-targowek-ul-oliwska-3-pokojowe-u3u9v6,https://s2.adresowa.pl/development/671224/nowe-mieszkania-oliwska-vita-99e3_cover.jpg
Warszawa Śródmieście,al. Jana Pawła II,3pok.,61m²,1 149 000,18 879,owner,3 dni temu,16,https://adresowo.pl/o/mieszkanie-warszawa-srodmiescie-al-jana-pawla-ii-3-pokojowe-k4k5p1,https://s2.adresowa.pl/oi/12/27/3a7372_ae54_cover-3-pokojowe-mieszkanie-warszawa-srodmiescie-al-jana-pawla-ii.jpg
Warszawa Ursus,ul. Posag 7 Panien,2pok.,35m²,670 000,18 905,owner,3 dni temu,12,https://adresowo.pl/o/mieszkanie-warszawa-ursus-ul-posag-7-panien-2-pokojowe-h2s8a8,https://s2.adresowa.pl/oi/28/5d/3a736c_ed33_cover-2-pokojowe-mieszkanie-warszawa-ursus-ul-posag-7-panien.jpg
Warszawa Ochota,al. Krakowska,2pok.,46m²,1 035 000,22 737,owner,3 dni temu,12,https://adresowo.pl/o/mieszkanie-warszawa-ochota-al-krakowska-2-pokojowe-a9k1d2,https://s2.adresowa.pl/oi/64/45/3a756a_2bb9_cover-2-pokojowe-mieszkanie-warszawa-ochota-al-krakowska.jpg
Warszawa Mokotów,ul. Racjonalizacji,2pok.,45m²,1 125 000,25 000,owner,3 dni temu,15,https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-racjonalizacji-2-pokojowe-k8s4n4,https://s2.adresowa.pl/oi/6a/6f/3a755e_33d7_cover-2-pokojowe-mieszkanie-warszawa-mokotow-ul-racjonalizacji.jpg
Warszawa Rembertów,ul. Stanisława Fiszera,3pok.,55m²,zapytajocenę,,owner,,3,https://adresowo.pl/o/mieszkanie-warszawa-rembertow-ul-stanislawa-fiszera-3-pokojowe-n7w1d3,https://s2.adresowa.pl/development/672048/nowe-mieszkania-stacja-rembertow-15f7_cover.jpg
,,,,,,unknown,,,,
,,,,,,unknown,,,,
Warszawa Włochy,ul. Mikołajska,3pok.,65m²,1 335 165,20 500,owner,3 dni temu,24,https://adresowo.pl/o/mieszkanie-warszawa-wlochy-ul-mikolajska-3-pokojowe-r1s3c5,https://s2.adresowa.pl/oi/4a/4b/3a7360_d113_cover-3-pokojowe-mieszkanie-warszawa-wlochy-ul-mikolajska.jpg
Warszawa Bielany,ul. Marymoncka,2pok.,38m²,530 000,14 032,owner,3 dni temu,17,https://adresowo.pl/o/mieszkanie-warszawa-bielany-ul-marymoncka-2-pokojowe-n2w5g1,https://s2.adresowa.pl/oi/24/17/3a7348_55a0_cover-2-pokojowe-mieszkanie-warszawa-bielany-ul-marymoncka.jpg
Warszawa Ursynów,ul. Polinezyjska,1pok.,31m²,560 000,18 123,owner,3 dni temu,10,https://adresowo.pl/o/mieszkanie-warszawa-ursynow-ul-polinezyjska-1-pokoj-n4r6y3,https://s2.adresowa.pl/oi/75/6c/3a7550_f583_cover-1-pokojowe-mieszkanie-warszawa-ursynow-ul-polinezyjska.jpg
